Resultado da busca;;;;;;;;;;;;;;;;;;;;;;
Papel;Cotaça;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Liq;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Liq;Div.Brut/ Patrim;Cresc. Rec.5a;Nota;Informaça
OSXB3;2,09;0;0;0,083;0,00%;0,004;-0,01;-0,21;0;-232,63;-432,5;-40,30%;-1855,80%;0,04;-2,17%;15,92%;3.993,57;-8.925.360.000,00;-0,83;38,15%;;
PATI3;29,4;15,86;0,9;0,343;9,25%;0,464;1,21;7,87;1,97;7,58;6,38;4,35%;2,16%;2,14;10,83%;5,69%;9.259,22;779.065.000,00;0,47;-6,19%;;
PATI4;34;18,34;1,04;0,396;8,00%;0,536;1,4;9,1;2,28;8,81;7,42;4,35%;2,16%;2,14;10,83%;5,69%;4.461,10;779.065.000,00;0,47;-6,19%;;
PCAR3;3,96;-1,43;0,72;0,101;0,00%;0,107;-0,96;1,24;-0,18;2,95;1,69;8,14%;-7,02%;0,7;11,16%;-50,45%;38.096.100,00;2.688.000.000,00;1,5;-13,77%;;
PDGR3;1,48;-0,03;0;0,049;0,00%;0,01;-0,01;-0,08;0;-7,08;-7,12;-58,56%;-182,07%;0,34;-29,15%;5,25%;347.123,00;-3.405.290.000,00;-0,13;-27,39%;;
PDTC3;1,31;-10,18;0,84;0,328;0,00%;0,165;0,44;4,99;-0,71;16,9;8,44;6,56%;-3,22%;2,97;3,83%;-8,29%;92.638,80;123.306.000,00;2,4;-2,66%;;
PEAB3;39;21,6;0,78;6,145;3,16%;0,553;3,99;-31,08;-4,92;-30,88;-131,95;-19,77%;28,45%;4,51;-2,04%;3,61%;13.156,50;907.574.000,00;0,17;44,66%;;
PEAB4;38,99;21,6;0,78;6,143;3,48%;0,553;3,99;-31,07;-4,92;-30,87;-131,91;-19,77%;28,45%;4,51;-2,04%;3,61%;6.984,23;907.574.000,00;0,17;44,66%;;
PETR3;32,3;5,37;0,98;0,847;10,01%;0,343;-12,61;2,09;-0,65;3,67;2,62;40,44%;15,87%;0,82;17,85%;18,33%;391.273.000,00;422.934.000.000,00;0,89;2,45%;;
PETR4;30,71;5,11;0,94;0,805;10,53%;0,327;-11,99;1,99;-0,62;3,57;2,55;40,44%;15,87%;0,82;17,85%;18,33%;1.267.680.000,00;422.934.000.000,00;0,89;2,45%;;
PETZ3;4,39;543,35;1,15;0,564;0,00%;0,502;3,12;9,7;-2,85;9,31;3,36;5,81%;0,10%;1,71;6,77%;0,21%;31.271.400,00;1.716.260.000,00;0,25;14,95%;;
